PolicyID,State,CoverageGap,CreditScore,Age,NumberOfVehicles,NewestVehicleAge,PriorAccidentCount,ZipCode,TimeInsured,ClaimAmount,ClaimFlag
48,TX,Large Gap,603,44,1,8,0,99763,1,0,0
49,CA,No Gap,494,62,1,12,0,83647,NA,0,0
50,TX,Large Gap,552,52,2,6,1,91962,1,0,0
51,CA,No Gap,708,60,2,0,2,10666,0.8273973,0,0
52,CA,No Gap,502,70,1,14,0,94445,1,0,0
53,TX,No Gap,633,31,1,5,0,56210,1,0,0
54,CA,No Gap,760,26,1,16,1,57398,0.4986301,0,0
55,NY,No Gap,841,62,1,1,2,84894,1,0,0
56,FL,No Gap,636,70,2,9,0,95190,NA,0,0
57,CA,No Gap,465,52,1,19,0,94667,1,0,0
58,TX,No Gap,400,61,1,7,0,91960,1,0,0
59,NY,No Gap,679,32,2,1,2,10572,1,0,0
60,TX,No Gap,537,23,2,16,1,77589,0.6109589,0,0
61,CA,No Gap,582,65,1,11,0,54529,NA,0,0
62,NY,No Gap,710,61,1,1,3,65135,0.230137,0,0
63,NY,No Gap,521,70,2,4,1,54563,1,0,0
64,CA,No Gap,519,43,2,0,1,47191,1,0,0
65,TX,No Gap,688,27,2,7,1,90322,1,0,0
66,NY,No Gap,530,58,2,3,1,49280,1,0,0
67,NY,No Gap,613,66,2,11,1,63863,1,0,0
68,TX,Small Gap,446,70,2,22,2,63553,1,0,0
69,CA,No Gap,704,17,2,0,0,56183,NA,0,0
70,TX,No Gap,600,59,1,11,0,84239,0.2246575,1200,1
71,NY,Small Gap,479,26,2,7,1,61247,1,0,0
72,NY,No Gap,515,50,2,5,0,45923,1,0,0
73,NY,No Gap,392,60,5,7,0,75014,0.9369863,0,0
74,CA,No Gap,523,32,2,5,1,74238,1,0,0
75,FL,No Gap,685,52,1,1,1,66521,1,0,0
76,NY,No Gap,399,47,2,0,0,63512,1,0,0
77,WV,No Gap,737,46,3,3,0,56504,1,0,0
78,NY,No Gap,385,73,2,5,0,48691,1,0,0
79,TX,No Gap,523,30,1,5,0,10094,1,0,0
80,NY,No Gap,386,70,2,6,0,77589,0.9150685,0,0
81,NY,Small Gap,606,21,1,4,0,62674,1,0,1
82,CA,No Gap,634,28,2,7,0,10310,1,0,0
83,CA,No Gap,589,37,3,2,2,82749,1,0,0
84,CA,Small Gap,599,70,1,9,0,94690,1,0,0
85,CA,No Gap,442,42,2,9,0,99228,1,0,0
86,WV,No Gap,423,26,1,2,0,71341,1,0,0
87,TX,No Gap,699,49,6,2,0,51324,1,0,0
88,TX,No Gap,390,70,2,4,0,50302,1,0,0
89,TX,No Gap,881,70,2,9,2,50302,0.1369863,4000,1
90,WV,No Gap,447,48,1,15,0,70696,0.6136986,0,0
91,NY,No Gap,440,64,1,10,0,66312,1,0,0
92,TX,No Gap,588,72,2,6,0,10606,1,0,0
93,CA,No Gap,756,25,1,2,1,83935,1,0,0
94,CA,Small Gap,608,68,1,17,0,58309,1,0,0
95,CA,No Gap,381,70,1,19,0,10487,1,0,0
96,NY,No Gap,452,45,2,3,0,66198,1,0,0
97,CA,No Gap,866,22,1,6,0,49863,1,0,0
98,NY,No Gap,610,65,2,0,1,10187,1,0,0
99,CA,Small Gap,525,38,1,5,2,66521,1,0,0
100,NY,No Gap,514,70,2,4,0,63651,1,2200,1
101,NY,No Gap,504,70,2,7,0,63651,1,0,0
102,CA,No Gap,472,31,1,8,0,94263,1,0,0
103,NY,No Gap,732,36,1,0,0,90344,1,0,0
104,NY,Large Gap,379,70,1,11,0,59964,1,0,0
105,NY,No Gap,562,60,4,8,0,71071,1,0,0
106,CA,Small Gap,637,20,1,5,0,10213,1,0,0
107,TX,No Gap,595,53,1,10,0,59927,0.3232877,0,0
108,NY,No Gap,438,54,1,0,0,91237,1,0,0
109,CA,No Gap,505,68,1,8,0,10225,1,0,1
110,NY,No Gap,412,45,1,7,0,89847,1,0,1
111,TX,No Gap,538,34,3,5,1,66555,0.8465753,0,0
112,WV,No Gap,573,51,1,8,0,61247,1,0,0
113,TX,No Gap,569,63,5,3,0,91422,1,0,0
114,CA,Large Gap,627,23,1,7,1,61420,0.2054795,0,0
115,TX,No Gap,498,70,3,12,0,73739,1,0,0
116,NY,No Gap,485,24,1,6,0,79105,0.8931507,0,0
117,NY,Large Gap,667,23,1,1,0,60192,1,0,0
118,CA,No Gap,402,70,1,5,0,79476,1,0,0
119,WV,No Gap,556,23,1,0,1,80121,1,0,0
120,CA,No Gap,523,58,1,1,0,10094,NA,0,0
121,CA,Small Gap,426,42,2,12,0,89963,0.3780822,0,0
122,CA,Large Gap,396,49,1,7,0,57203,1,0,0
123,TX,No Gap,434,44,2,2,2,47555,1,0,0
124,FL,Large Gap,555,22,1,2,0,70396,0.3780822,0,0
125,NY,No Gap,694,66,1,2,1,78514,1,0,0
126,CA,No Gap,364,63,2,6,2,72597,1,0,0
127,WV,Large Gap,968,27,1,0,2,10310,1,0,0
128,NY,No Gap,686,47,1,10,0,89847,0.3616438,0,0
129,WV,No Gap,719,32,2,5,0,70953,NA,0,0
130,CA,No Gap,674,62,1,10,0,57203,0.2465753,0,0
131,NY,No Gap,501,39,2,4,0,83201,1,0,1
132,NY,No Gap,673,35,2,2,0,83201,1,0,0
133,CA,No Gap,546,49,2,1,0,74245,1,0,0
134,WV,Large Gap,654,40,4,2,0,93065,1,0,1
135,WV,Large Gap,663,41,4,1,0,93065,1,0,0
136,NY,No Gap,710,50,3,4,2,46868,1,0,0
137,CA,No Gap,413,44,4,2,0,97398,1,0,0
138,TX,No Gap,596,62,2,7,0,10380,1,0,0
139,NY,No Gap,571,50,5,2,1,74271,1,0,0
140,CA,No Gap,865,29,1,8,3,80072,1,0,0
141,TX,No Gap,683,55,1,1,1,70170,1,0,0
142,VA,Large Gap,488,23,1,21,0,80684,0.2054795,0,0
143,NY,No Gap,389,70,2,6,0,47612,1,0,0
144,CA,No Gap,618,24,2,12,2,76456,0.0712329,0,0
145,CA,Large Gap,761,44,3,2,0,82402,1,0,0
146,NY,No Gap,412,70,2,7,2,10110,1,0,0
147,NY,No Gap,401,51,4,3,0,99493,1,0,0
148,CA,No Gap,492,32,2,10,0,92092,1,0,0
149,CA,No Gap,359,24,1,13,0,69737,1,0,0
150,FL,Small Gap,604,54,3,10,1,87438,1,0,0
151,WV,Small Gap,679,38,1,14,0,77781,0.2876712,0,0
152,FL,Small Gap,566,69,1,3,0,84545,0.0767123,0,0
153,CA,Small Gap,402,25,1,10,0,64537,0.4109589,5300,1
154,NY,Large Gap,609,34,1,15,0,61486,0.0986301,0,0
155,CA,No Gap,683,25,1,18,1,71227,0.1780822,0,0
156,NY,No Gap,503,31,2,3,0,96610,1,0,0
157,WV,No Gap,643,46,1,16,0,90005,1,2900,1
158,CA,Large Gap,490,25,2,6,1,81840,NA,0,0
159,TX,No Gap,739,22,1,11,0,52083,1,0,0
160,CA,Large Gap,642,52,1,3,0,68230,0.2876712,0,0
161,VA,Large Gap,505,37,2,9,0,61016,1,3500,1
162,CA,Large Gap,477,34,1,1,0,49280,1,0,0
163,TX,No Gap,595,62,3,15,0,10487,1,0,0
164,NY,Small Gap,575,37,1,4,0,65611,1,0,0
165,WV,No Gap,585,29,1,6,0,59469,1,0,0
166,CA,No Gap,518,59,2,6,0,65176,1,0,0
167,WV,Small Gap,580,46,2,12,1,85067,1,0,0
168,CA,Large Gap,490,19,1,4,0,10225,1,19200,1
169,TX,No Gap,646,40,2,6,0,90087,1,0,0
170,TX,Large Gap,707,37,2,3,0,62711,0.9589041,0,0
171,VA,Large Gap,677,30,1,0,0,61090,0.3808219,0,0
172,WV,Small Gap,743,27,3,2,0,10044,0.4027397,0,0
173,CA,No Gap,479,52,2,0,0,84979,0.8328767,0,0
174,FL,No Gap,723,18,1,15,0,55426,0.4438356,17400,1
175,FL,Small Gap,593,38,1,5,0,10510,0.5013699,0,0
176,TX,No Gap,612,31,2,11,0,98170,0.5041096,0,0
177,VA,Large Gap,642,24,1,10,0,52083,0.1342466,0,0
178,CA,No Gap,407,26,1,5,0,54518,1,0,0
179,TX,No Gap,596,63,2,8,0,80929,1,0,0
180,CA,Large Gap,410,40,2,8,0,87082,0.4575342,0,0
181,CA,No Gap,415,35,1,12,0,93625,1,600,1
182,TX,Large Gap,609,42,2,6,0,76086,1,1900,1
183,TX,Large Gap,562,43,2,4,0,76086,1,0,0
184,WV,Small Gap,746,35,1,13,0,93098,0.6657534,0,0
185,TX,Small Gap,708,30,1,6,1,92092,0.1342466,0,0
186,CA,No Gap,633,68,1,11,1,77954,1,0,0
187,CA,Large Gap,588,32,2,3,0,84239,1,0,0
188,NY,No Gap,608,60,1,2,0,53431,1,0,0
189,TX,No Gap,590,60,2,7,0,87091,1,0,0
190,CA,Small Gap,442,55,3,1,2,92415,0.8821918,0,0
191,CA,Small Gap,813,37,1,5,1,79284,0.0575342,0,0
192,TX,No Gap,501,70,2,9,0,79201,0.4767123,0,0
193,NY,No Gap,767,46,1,1,2,65109,1,0,0
194,CA,No Gap,477,53,1,20,0,46164,1,0,0
195,NY,No Gap,590,23,1,9,0,10310,1,0,0
196,NY,Large Gap,599,22,1,13,0,10094,1,0,0
197,TX,No Gap,498,43,1,11,2,88451,NA,0,0
198,WV,No Gap,516,45,3,3,4,10303,1,0,0
199,CA,No Gap,623,35,1,6,0,92125,0.030137,0,0
200,FL,No Gap,418,38,1,7,0,79284,1,0,0
201,CA,No Gap,770,52,2,5,0,95738,0.4136986,0,0
202,VA,Large Gap,411,53,2,14,0,10738,0.4082192,49700,1
203,VA,Large Gap,503,56,2,17,0,10738,1,0,0
204,NY,Large Gap,716,27,1,3,1,98170,1,4300,1
205,NY,No Gap,388,38,2,4,2,73785,1,0,0
206,CA,No Gap,601,21,1,1,0,65451,0.6356164,0,0
207,CA,No Gap,718,26,1,19,1,78951,0.690411,0,0
208,WV,No Gap,641,22,1,2,0,50098,0.3342466,0,0
209,CA,No Gap,641,35,1,3,0,78651,NA,0,0
210,VA,Large Gap,434,27,1,3,0,49556,0.3013699,0,0
211,CA,Large Gap,526,60,2,8,0,46148,0.8767123,0,0
212,NY,Small Gap,589,42,1,17,1,87579,0.2246575,0,0
213,CA,No Gap,767,26,1,16,2,64465,0.3123288,0,0
214,NY,No Gap,669,70,1,12,0,76076,1,0,0
215,NY,No Gap,761,34,2,14,0,53620,0.2054795,0,0
216,NY,No Gap,713,65,1,9,1,59346,1,0,0
217,VA,Large Gap,611,26,1,3,1,57926,0.090411,0,0
218,WV,Large Gap,764,21,1,5,1,95073,0.1315068,0,0
219,CA,No Gap,621,41,1,2,0,79476,1,0,0
220,CA,No Gap,371,26,1,1,0,10395,1,0,0
221,WV,Large Gap,744,45,1,6,0,75131,1,0,0
222,NY,No Gap,414,45,1,1,0,59346,1,0,0
223,VA,Large Gap,635,45,4,1,0,76050,0.4164384,0,0
224,CA,No Gap,565,34,1,15,0,10585,0.739726,0,0
225,FL,Large Gap,603,33,1,12,0,60755,0.4575342,0,0
226,TX,No Gap,618,42,1,7,2,92374,1,0,0
227,WV,No Gap,437,62,2,4,1,53642,0.5150685,0,0
228,VA,Large Gap,669,33,2,13,0,49845,0.5369863,0,0
229,WV,No Gap,405,62,3,14,0,47114,1,0,0
230,VA,Large Gap,951,17,1,2,0,98973,0.3452055,0,0
231,TX,Small Gap,475,65,2,1,0,10044,1,0,0
232,CA,Small Gap,429,52,1,15,0,99228,0.0383562,0,0
233,TX,No Gap,488,57,1,6,0,10446,0.860274,0,0
234,TX,No Gap,610,27,2,7,1,61711,1,0,0
235,CA,No Gap,549,36,2,5,0,95130,0.8082192,0,0
236,WV,Large Gap,639,41,3,8,1,59346,1,0,0
237,VA,Large Gap,801,62,3,6,0,84203,1,0,0
238,CA,Small Gap,470,63,2,10,0,45923,1,0,0
239,CA,Small Gap,539,29,1,6,0,97282,0.1561644,0,0
240,TX,No Gap,490,41,2,9,0,87732,1,0,0
241,VA,Large Gap,820,70,1,2,0,85067,1,0,0
242,CA,No Gap,380,34,2,16,0,10110,0.6438356,0,0
243,TX,No Gap,807,27,1,5,3,99734,0.3013699,0,0
244,NY,No Gap,697,40,1,11,0,80765,0.0767123,0,0
245,NY,No Gap,784,31,1,15,2,58776,0.0821918,5100,1
246,FL,No Gap,677,52,1,8,0,49264,1,0,0
247,WV,No Gap,539,31,1,14,0,75416,1,0,0
248,WV,Small Gap,400,40,1,9,0,65109,1,0,0
249,WV,No Gap,567,36,2,0,0,93144,1,0,0
250,NY,No Gap,527,70,2,7,0,90695,0.2684932,0,0
251,CA,No Gap,415,41,1,11,1,10289,1,0,0
252,WV,No Gap,397,38,2,4,0,56643,1,0,0
253,CA,No Gap,628,63,2,18,1,47568,1,0,0
254,NY,No Gap,550,70,1,17,0,61092,1,0,0
255,CA,No Gap,697,51,1,11,0,54712,1,0,0
256,CA,Small Gap,733,40,3,4,0,90546,0.8,0,0
257,WV,Small Gap,718,45,1,17,0,62038,0.0273973,0,0
258,WV,Large Gap,676,28,1,5,0,67205,1,0,0
259,VA,Large Gap,432,51,1,9,0,80765,0.3780822,0,0
260,WV,Large Gap,542,46,1,5,0,51729,0.4027397,0,0
261,NY,No Gap,608,70,1,9,2,76076,1,0,0
262,CA,No Gap,577,43,1,7,1,95604,0.2876712,0,0
263,NY,No Gap,390,37,1,6,0,86850,1,0,0
264,CA,No Gap,475,28,1,13,1,76456,1,0,0
265,VA,Large Gap,449,47,3,3,1,70393,0.2876712,0,0
266,CA,No Gap,558,31,1,8,1,87732,1,0,0
267,TX,Small Gap,514,29,2,14,0,85330,1,3900,1
268,TX,Small Gap,499,25,2,12,0,85330,1,0,0
269,WV,Large Gap,562,68,1,4,0,94428,0.1178082,0,0
270,WV,Small Gap,417,50,1,6,0,56979,1,0,0
271,NY,Small Gap,632,52,1,2,0,57318,1,0,0
272,CA,No Gap,506,55,1,18,0,48439,0.9561644,3300,1
273,CA,No Gap,636,43,1,4,0,64366,1,0,0
274,CA,No Gap,582,37,1,4,0,10380,1,0,0
275,VA,Large Gap,545,55,1,16,1,51167,1,0,0
276,TX,No Gap,374,66,4,6,0,96750,1,0,0
277,VA,Large Gap,647,44,1,15,0,78514,1,0,0
278,VA,Large Gap,550,48,3,2,0,79476,0.5506849,0,0
279,TX,No Gap,442,45,2,4,0,66555,1,0,0
280,VA,Large Gap,509,31,1,8,0,10545,0.6273973,2500,1
281,TX,Large Gap,580,53,1,5,1,70696,0.8767123,0,0
282,NY,Large Gap,413,45,4,5,0,70170,NA,0,0
283,CA,No Gap,666,50,2,0,0,87732,1,0,0
284,VA,Large Gap,416,39,1,5,0,53588,1,0,0
285,WV,Large Gap,485,53,1,4,0,74868,0.4,0,0
286,TX,No Gap,571,47,3,9,0,64959,1,700,1
287,TX,No Gap,614,49,3,1,0,64959,1,0,0
288,WV,No Gap,378,32,1,6,0,97152,1,0,0
289,TX,Large Gap,577,27,1,18,0,10675,0.6684932,0,0
290,TX,Large Gap,643,29,1,14,0,91779,1,0,0
291,TX,Large Gap,517,44,2,7,0,60505,1,0,0
292,CA,Large Gap,894,28,2,1,2,47250,0.1315068,0,0
293,NY,Large Gap,849,50,2,3,0,54522,0.2876712,0,0
294,NY,No Gap,535,47,3,3,0,79335,0.0465753,0,0
295,CA,No Gap,733,43,1,0,0,66662,1,0,0
296,TX,No Gap,606,34,1,5,0,53654,0.5369863,0,0
297,WV,Small Gap,553,24,1,0,1,90801,0.8958904,0,0
298,NY,No Gap,559,40,2,14,0,83247,0.1315068,0,0
299,CA,Large Gap,540,55,3,4,0,56470,0.3123288,0,0
300,CA,Large Gap,486,34,2,8,1,97567,0.2136986,0,0
301,FL,Small Gap,793,39,1,7,0,46833,NA,0,0
302,NY,Small Gap,NA,28,1,17,1,65539,0.1287671,0,0
303,CA,Large Gap,716,45,2,0,0,65451,1,0,0
304,CA,Small Gap,644,28,1,7,0,52083,0.3753425,0,0
305,TX,No Gap,621,51,1,15,0,48783,0.1506849,0,0
306,TX,Small Gap,854,21,1,4,1,83619,1,0,0
307,CA,No Gap,678,41,1,1,0,87208,0.0739726,0,0
308,WV,Large Gap,556,44,3,6,2,78951,0.2219178,0,0
309,WV,Large Gap,560,60,1,5,0,91237,0.909589,0,0
310,FL,Small Gap,481,30,1,13,1,10118,1,0,0
311,CA,Small Gap,721,49,1,2,1,54902,1,0,0
312,TX,No Gap,429,24,2,1,0,62343,1,0,0
313,WV,No Gap,429,55,3,8,2,53081,1,0,0
314,VA,Large Gap,520,32,2,19,0,53501,1,0,0
315,NY,No Gap,835,56,2,0,1,70393,0.3561644,0,0
316,WV,Small Gap,526,46,1,6,0,95492,0.8356164,0,0
317,CA,Small Gap,526,30,1,7,0,71317,0.6136986,0,0
318,CA,Large Gap,480,37,1,1,0,76076,0.2027397,0,0
319,VA,Large Gap,728,47,3,1,0,10240,1,0,0
320,CA,No Gap,491,70,2,9,2,50860,1,0,0
321,CA,Large Gap,673,26,1,6,1,83643,0.490411,0,0
322,NY,No Gap,634,31,1,9,1,50302,0.1287671,0,0
323,TX,No Gap,594,40,1,2,0,63512,0.6246575,0,0
324,CA,Large Gap,544,42,1,5,0,85188,1,0,0
325,NY,No Gap,448,27,2,0,0,54501,0.4383562,0,0
326,NY,No Gap,478,71,2,6,0,90546,1,0,0
327,CA,No Gap,648,37,1,3,1,99734,0.4712329,0,0
328,CA,Large Gap,719,42,1,15,0,49219,NA,0,0
329,FL,Small Gap,701,73,1,15,0,90344,1,0,0
330,CA,No Gap,415,68,3,4,2,64959,1,0,0
331,NY,No Gap,413,19,1,3,0,88114,0.2986301,0,0
332,CA,No Gap,713,56,1,4,0,91779,1,0,0
333,TX,No Gap,595,25,1,4,0,79322,0.0657534,0,0
334,WV,Small Gap,609,27,1,5,0,52083,0.8739726,0,0
335,CA,Small Gap,565,24,1,0,0,83386,0.3753425,0,0
336,TX,No Gap,478,36,3,5,0,58219,1,0,0
337,NY,No Gap,441,51,4,0,0,63034,1,0,0
338,WV,No Gap,478,43,2,9,2,57318,1,0,0
339,CA,No Gap,785,36,2,9,0,64735,1,0,0
340,WV,Large Gap,587,22,1,4,0,92213,0.2219178,0,0
341,CA,No Gap,605,24,3,3,0,85188,1,0,0
342,CA,No Gap,407,52,2,11,0,99394,1,0,0
343,NY,No Gap,557,66,1,13,0,97795,0.5726027,0,0
344,VA,Large Gap,452,66,2,14,0,10096,0.1753425,0,0
345,VA,Large Gap,771,28,1,4,1,60750,NA,0,0
346,VA,Large Gap,490,65,1,0,0,95738,1,0,0
347,FL,No Gap,529,44,3,0,1,65259,0.890411,0,0
348,CA,Large Gap,587,35,2,14,0,57295,1,600,1
349,CA,Large Gap,419,41,2,13,0,57295,1,0,0
350,NY,No Gap,623,53,3,5,0,97748,1,0,0
351,CA,Large Gap,707,46,4,8,1,83735,0.8739726,0,0
352,NY,No Gap,579,70,2,0,0,69209,0.5808219,0,0
353,NY,No Gap,482,31,1,0,1,88637,1,0,0
354,VA,Large Gap,463,47,2,0,0,77614,1,0,0
355,TX,No Gap,433,44,2,13,0,52568,1,0,0
356,CA,Large Gap,718,38,1,4,1,58683,1,0,0
357,TX,No Gap,511,43,3,2,2,99228,1,0,0
358,CA,Large Gap,563,34,1,2,0,80445,0.1726027,0,0
359,TX,No Gap,596,24,1,0,2,69803,1,4100,1
360,CA,No Gap,405,70,2,9,2,82749,0.8410959,0,0
361,CA,Large Gap,663,60,4,2,0,56306,1,0,0
362,CA,Large Gap,523,61,3,14,0,96832,0.4356164,0,0
363,CA,No Gap,597,26,1,12,0,89708,0.1287671,0,0
364,NY,No Gap,608,55,3,6,2,88451,1,0,0
365,CA,Small Gap,568,53,1,3,0,95934,0.0684932,0,0
366,NY,Large Gap,526,30,1,10,0,10118,0.9424658,0,0
367,CA,Large Gap,590,32,2,10,0,61129,1,0,0
368,NY,No Gap,404,48,4,0,0,98875,1,0,0
369,TX,No Gap,512,53,3,4,1,78514,1,0,0
370,TX,No Gap,686,20,1,13,0,91960,1,0,0
371,TX,No Gap,449,33,2,5,0,56183,0.3753425,0,0
372,VA,Large Gap,716,22,1,25,0,71227,0.2465753,0,0
373,CA,No Gap,479,26,2,10,0,79896,0.3643836,0,0
374,NY,No Gap,468,56,5,1,1,80601,1,0,0
375,TX,Large Gap,670,29,1,16,0,99188,0.8657534,3300,1
376,VA,Large Gap,603,61,2,10,1,57926,0.2986301,0,0
377,CA,Large Gap,609,31,1,9,0,10396,1,0,0
378,TX,Large Gap,685,48,1,1,0,75167,0.2027397,0,0
379,FL,No Gap,439,36,2,3,2,95887,1,0,0
380,CA,Large Gap,965,59,1,10,0,92125,0.0027397,0,0
381,WV,No Gap,532,67,2,0,0,56175,1,0,0
382,FL,No Gap,496,42,1,2,0,49070,0.4191781,0,0
383,CA,Small Gap,649,27,3,0,1,10396,1,0,0
384,CA,No Gap,451,53,1,14,1,69600,1,0,0
385,VA,Large Gap,507,31,1,2,0,90457,0.9561644,0,0
386,CA,Large Gap,575,35,2,7,1,64735,0.7972603,0,0
387,WV,No Gap,743,20,1,13,1,66555,0.8027397,1100,1
388,NY,Large Gap,556,49,1,7,0,10585,0.2465753,0,0
389,CA,Large Gap,522,31,1,9,0,47612,1,1100,1
390,TX,No Gap,550,55,1,6,0,79322,1,0,0
391,NY,No Gap,533,37,3,4,1,46833,1,0,0
392,VA,Large Gap,508,41,2,1,0,83647,0.1561644,0,0
393,TX,Small Gap,673,54,1,5,0,90801,0.1068493,0,0
394,CA,Large Gap,416,40,2,10,0,75151,0.4767123,0,0
395,NY,Large Gap,508,38,1,2,0,67478,0.8493151,0,0
396,WV,No Gap,483,65,6,0,0,92417,1,0,0
397,FL,No Gap,472,55,1,12,0,99315,0.1260274,0,0
398,VA,Large Gap,741,41,1,1,1,72313,0.1260274,0,0
399,CA,Large Gap,735,29,1,14,1,10395,0.2027397,0,0
400,NY,No Gap,471,27,1,4,0,48582,0.5452055,0,0
401,WV,No Gap,657,33,1,13,0,66198,0.7232877,0,0
402,CA,Small Gap,644,25,1,7,0,85996,0.2684932,0,0
403,CA,No Gap,538,64,3,6,0,88145,0.7643836,0,0
404,TX,No Gap,539,39,1,2,0,66555,0.4136986,0,0
405,NY,No Gap,405,55,3,12,1,67296,1,0,0
406,TX,No Gap,523,49,4,0,0,72981,0.5315068,0,0
407,TX,No Gap,470,47,4,23,0,72981,0.5315068,7700,1
408,NY,Small Gap,493,27,1,4,0,45657,0.3726027,0,0
409,TX,Small Gap,412,70,1,8,0,87222,1,29000,1
410,FL,Small Gap,672,70,1,3,1,10393,0.1260274,0,0
411,NY,No Gap,519,24,1,1,0,10140,1,0,0
412,NY,No Gap,399,45,5,1,1,91673,0.6684932,0,0
413,VA,Large Gap,755,16,1,21,0,65259,1,0,0
414,CA,Small Gap,625,70,1,11,0,47568,0.1260274,0,0
415,VA,Large Gap,685,22,1,7,2,71755,1,0,0
416,CA,No Gap,612,34,3,19,0,75118,1,0,0
417,CA,No Gap,707,35,3,13,0,75118,1,3300,1
418,CA,Large Gap,523,40,3,8,0,99876,1,0,0
419,WV,No Gap,899,24,1,4,1,97340,0.7205479,0,0
420,CA,Large Gap,521,52,1,19,0,10761,1,0,0
421,TX,No Gap,472,72,1,3,0,71755,NA,0,0
422,NY,No Gap,404,70,3,4,0,70170,0.8794521,0,0
423,NY,No Gap,413,68,3,14,0,81721,1,0,0
424,NY,Large Gap,469,21,1,2,0,61594,0.7945205,0,0
425,VA,Large Gap,771,21,1,13,0,57343,1,0,0
426,CA,Large Gap,754,20,1,15,0,10436,0.1178082,0,0
427,CA,No Gap,741,47,3,2,0,54381,1,0,0
428,TX,No Gap,571,70,2,3,3,73780,1,0,0
429,NY,Small Gap,404,34,2,3,0,49051,1,0,0
430,NY,No Gap,686,24,1,3,0,79476,0.569863,0,0
431,CA,No Gap,823,58,2,7,3,61129,1,0,0
432,NY,Large Gap,694,37,1,9,1,61129,1,0,0
433,CA,No Gap,610,43,2,7,0,70279,1,0,0
434,NY,No Gap,557,55,2,7,0,64663,0.9287671,0,0
435,CA,No Gap,367,62,3,2,0,91673,1,0,0
436,WV,Large Gap,576,68,1,5,0,94939,1,0,0
437,TX,Large Gap,666,70,2,2,1,98215,1,0,0
438,WV,No Gap,719,25,1,11,0,62859,0.1260274,0,0
439,NY,No Gap,535,45,1,6,0,82749,1,0,0
440,FL,Large Gap,546,23,2,3,0,96455,1,0,0
441,NY,No Gap,505,46,1,4,0,99988,NA,0,0
442,CA,No Gap,583,35,1,5,0,90695,NA,0,0
443,NY,Small Gap,657,59,2,1,2,75588,1,0,0
444,CA,No Gap,555,29,2,11,0,99734,1,0,0
445,TX,No Gap,541,23,1,5,0,96832,0.3726027,0,0
446,CA,No Gap,757,22,1,9,1,68230,1,0,0
